Name,PartNumber,Category,SubCategory,Collection,Style,ArtType,WoodType,Material,Color,Size,Weight,Dimensions,Price,MRP,Stock,Tag,HandPainted,BestSeller,NewArrival,GiftReady,IsActive,AmazonURL,Description,Image1,Image2,Image3,Image4,Image5
"Handcrafted Terracotta Handi Set of 3 with Lid (2000ml, 1500ml, 1000ml) | Traditional Clay Cook & Serve Pots | Eco-Friendly Earthenware Cookware for Authentic Flavor",HandiYR03,Minimal,Natural Terracotta,earthy-tones,,Hand Painted,,Terracotta,Rustic Red with White Tribal Artwork,"Large, Medium, Small",,,1499,2999,10,,Yes,No,No,No,Yes,,"Authentic Handmade Craftsmanship Each handi is carefully handcrafted from natural terracotta clay, showcasing traditional artistry with elegant tribal motifs.",https://m.media-amazon.com/images/I/61LIUAt9o6L.jpg,https://m.media-amazon.com/images/I/71bPx4TDbSL.jpg,https://m.media-amazon.com/images/I/61ZVwKlUiQL.jpg,https://m.media-amazon.com/images/I/71tKxHGxubL.jpg,https://m.media-amazon.com/images/I/71AySlPmAQL.jpg
Product,LV-6UTF-MNYL,Minimal,Natural Terracotta,earthy-tones,,,,,,,,,1199,2999,10,,No,No,No,No,Yes,,,https://m.media-amazon.com/images/I/616bjjrt1TL.jpg,https://m.media-amazon.com/images/I/719deQqKjbL.jpg,https://m.media-amazon.com/images/I/71Z6TQ+GT1L.jpg,https://m.media-amazon.com/images/I/71BMSmylWqL.jpg,https://m.media-amazon.com/images/I/71TQIYkm6JL.jpg
"Acacia Wood Chopping Board 14x12 Inch | Handmade Reversible Wooden Cutting Board for Kitchen | Pizza Platter Tray, Cheese Board, Bread & Meat Serving Board",ANDWCH02,Woodcraft,Kitchen Tools,kitchen-essentials,,,,Acacia Wood,brown,35.6L x 25.4W cm,,,455,999,55,,No,No,No,No,Yes,,"✔ Size: Length: 14 inches, Diameter: 10 inches – Perfectly sized for versatile kitchen use, offering ample space for chopping, slicing, and serving.",https://m.media-amazon.com/images/I/61VG0SBi2cL.jpg,https://m.media-amazon.com/images/I/71Dgr9z-gJL.jpg,https://m.media-amazon.com/images/I/71GnKFDRTKL.jpg,https://m.media-amazon.com/images/I/61afm0v+UAL.jpg,https://m.media-amazon.com/images/I/71GV57fy8yL.jpg
"Wooden Chopping Board with Steel Handle, Multipurpose Cutting Board for Vegetables, Fruits & Cheese, for Kitchen Use, BPA Free, Eco-Friendly, Anti-Microbial, Food Grade Safe",ChoppingBoardMangoH,Woodcraft,Kitchen Tools,kitchen-essentials,Chopping Board (30x20 CM),,,Mango Wood,Chopping Board (31x20.5 CM),31L x 20.5W cm,,,399,999,100,,No,No,No,No,Yes,,"Boards have an advantage over wooden cutting boards in that they are naturally antibacterial, anti-fungal and is biodegradable",https://m.media-amazon.com/images/I/61dGkPA9HRL.jpg,https://m.media-amazon.com/images/I/71NKOG8YOsL.jpg,https://m.media-amazon.com/images/I/719lA-qf9xL.jpg,https://m.media-amazon.com/images/I/71u27BRq4iL.jpg,https://m.media-amazon.com/images/I/814YQVTzlhL.jpg
"Large Non-Slip Pine Wood Cutting Board with Antibacterial Surface with Stainless Steel Handle, Chopping Board for Kitchen, Food Grade safe Cutting Board for Kitchen (Wood)",ChoppingboardTan,Woodcraft,Kitchen Tools,kitchen-essentials,,,,Wood,Tan Brown,Standard,,,449,899,25,,No,No,No,No,Yes,,"PREMIUM NATURAL WOOD: Crafted from high-quality natural wood with an attractive grain finish, offering durability, strength, and long-lasting performance for everyday kitchen use.",https://m.media-amazon.com/images/I/71aeM-lWn8L.jpg,https://m.media-amazon.com/images/I/71leEItMnRL.jpg,https://m.media-amazon.com/images/I/71MIjdB-IBL.jpg,https://m.media-amazon.com/images/I/71IvkeEDzXL.jpg,https://m.media-amazon.com/images/I/712H+i9W66L.jpg
"Wooden Chopping Board for Kitchen, Premium Wooden Cutting Board with Easy Grip Handle, Multipurpose Vegetable Fruit Meat Bread Cutting Board, Durable Serving & Chopping Board for Home Cooking",DarkBrownMangowood,Woodcraft,Kitchen Tools,kitchen-essentials,Chopping Board (30x20 CM),,,Mango Wood,Brown,Standard,,,399,899,25,,No,No,No,No,Yes,,"have an advantage over wooden cutting boards in that they are naturally antibacterial, anti-fungal and is biodegradable",https://m.media-amazon.com/images/I/71s7ykV70dL.jpg,https://m.media-amazon.com/images/I/71MplABcJ5L.jpg,https://m.media-amazon.com/images/I/71HCkEt+rXL.jpg,https://m.media-amazon.com/images/I/71JD75e-gGL.jpg,https://m.media-amazon.com/images/I/71XD5WkUGHL.jpg
"Wooden Pizza Platter & Chopping Board 14.17 Inch | Round Serving Board for Pizza, Bread & Snacks | Durable Wooden Cutting Board for Kitchen & Dining Use",LF/Pizza Platter,Woodcraft,Kitchen Tools,kitchen-essentials,,,,Wood,Brown,Standard,,,465,999,68,,No,No,No,No,Yes,,"Dual Purpose Pizza Platter & Chopping Board – Designed for both cutting and serving, making it a practical addition to your kitchen for pizza, bread, and snacks.",https://m.media-amazon.com/images/I/616yJ9Od3NL.jpg,https://m.media-amazon.com/images/I/71F2L-WNeYL.jpg,https://m.media-amazon.com/images/I/7159NLHRjjL.jpg,https://m.media-amazon.com/images/I/71cXbdYUgQL.jpg,https://m.media-amazon.com/images/I/71ZnwyZn32L.jpg
"Wooden Serving & Cutting Board with Handle – Food Grade, Eco-Friendly, Handcrafted Acacia Wood Chopping Board | Made in India | Kitchen, Cheese & Bread Board | Pizza Platter",WPPCH01,Woodcraft,Kitchen Tools,kitchen-essentials,,,,Wood,Wooden,Medium,,,399,999,19,,No,No,No,No,Yes,,"Premium Acacia Wood Crafted from durable, high-quality acacia wood with natural grain patterns, making each board unique and long-lasting.",https://m.media-amazon.com/images/I/711C1Fnzp5L.jpg,https://m.media-amazon.com/images/I/71EAPG3j4YL.jpg,https://m.media-amazon.com/images/I/61LheHGMKwL.jpg,https://m.media-amazon.com/images/I/71VWI8yK9fL.jpg,https://m.media-amazon.com/images/I/71VWI8yK9fL.jpg
"Wooden Bowl for Kitchen & Dining Use | Multipurpose Serving Bowl for Snacks, Dry Fruits & Salad | Natural Wooden Bowl for Home & Tableware",LF/Wooden Bowl,Woodcraft,Trays & Platters,earthy-tones,,,,Wood,Brown,Standard,,,399,999,35,,No,No,No,No,Yes,,"Multipurpose Wooden Bowl for Everyday Use – Ideal for serving snacks, dry fruits, salads, fruits, or small food portions in a stylish and organized way.",https://m.media-amazon.com/images/I/51f6OAvYwOL.jpg,https://m.media-amazon.com/images/I/71SmsEdLEFL.jpg,https://m.media-amazon.com/images/I/71whec5u3-L.jpg,https://m.media-amazon.com/images/I/71oYhw8lXsL.jpg,https://m.media-amazon.com/images/I/71M8NuBhkCL.jpg
"Hand Painted Wooden Folk Art Pizza Platter, Decorative Chopping Board, Rustic Serving Tray, Kitchen Wall Decor Plate, Handmade Gift",PP001,Artisan,Folk Art Trays,folk-heritage,,Hand Painted,,Wood,Brown,M,,,999,2999,1,,Yes,No,No,No,Yes,,Color: Brown,https://m.media-amazon.com/images/I/61RBcJ69KqL.jpg,https://m.media-amazon.com/images/I/81Gvv8SKQSL.jpg,https://m.media-amazon.com/images/I/71jV3B9q-QL.jpg,https://m.media-amazon.com/images/I/71VAGD5boPL.jpg,https://m.media-amazon.com/images/I/71fkWjg8VnL.jpg
"Wooden Pizza Serving Board for Kitchen Use, Round Platter for Pizza, Bread & Snacks Serving, Durable Tray for Dining Table & Party Serving",Wooden Pizza Platter_PR,Woodcraft,Trays & Platters,earthy-tones,Classic,,,Wood,Multicolor,Small,,,999,2999,1,,No,No,No,No,Yes,,Features pizza serving adding a unique visual identity,https://m.media-amazon.com/images/I/61TL+GYJtEL.jpg,https://m.media-amazon.com/images/I/71XP6xEHXYL.jpg,https://m.media-amazon.com/images/I/71jHF6+8SRL.jpg,https://m.media-amazon.com/images/I/81-vOkaibLL.jpg,https://m.media-amazon.com/images/I/71hliPHM-+L.jpg
"Terracotta Kullad Cups Set Couple mug (Set of 2, 220 ml, Microwave Safe, Handpainted, Brown) | Kulhad Cups Kulhad Tea Cups Set Chai Kullad Coffee Mug",CoupleMug01,Minimal,Natural Terracotta,earthy-tones,,Hand Painted,,Ceramic,Brown,Small,,,999,1999,5,,Yes,No,No,No,Yes,,Handmade in India by Artisans.,https://m.media-amazon.com/images/I/61MTTlrpObL.jpg,https://m.media-amazon.com/images/I/7132B2nf+WL.jpg,https://m.media-amazon.com/images/I/71zbhlUwkNL.jpg,https://m.media-amazon.com/images/I/717F8wpCA0L.jpg,https://m.media-amazon.com/images/I/717EFmlF5bL.jpg
"Terracotta Kulhad Set for Tea & Coffee, Traditional Clay Cups for Drinking, Eco-Friendly Kitchen Drinkware & Serving Item",Terracotta Kulhad_PR,Minimal,Natural Terracotta,earthy-tones,,,,Terracotta,Multicolor,Small,,,799,2999,5,,No,No,No,No,Yes,,Features kulhad cups adding a unique visual identity,https://m.media-amazon.com/images/I/61MTTlrpObL.jpg,https://m.media-amazon.com/images/I/71zQ1jlelFL.jpg,https://m.media-amazon.com/images/I/71mveFrTeoL.jpg,https://m.media-amazon.com/images/I/71OLvdj0j0L.jpg,https://m.media-amazon.com/images/I/71Eu+3Hv4HL.jpg
